TimeStamp,MELTER.MELTER_CONTROL_BX.Value,MELTER_ML.TEMP_PV_Value,CO2.CO2_GAS_concentration_Value,CO2.CO2_GAS_F.Value,CO2.CO2_GAS_PRESS.Value,SATURATOR1_PH_PV.Value,SATURATOR1_ST_TEMP.Value,SATURATOR1_CALCIUM_F.Value,SATURATOR2_PH_PV.Value,SATURATOR2_ST_TEMP.Value,SATURATOR2_CALCIUM_F.Value,SATURATOR3_PH_PV.Value,SATURATOR3_ST_TEMP.Value,SATURATOR1_RATE_SV.Value,SATURATOR_ML_SUPPLY_F_PV.Value
2021-01-01 16:00:00,63.215003333333335,78.44274333333334,10.185116666666666,118.8903,0.4740756666666666,9.07067,74.41408666666666,1048.3134333333337,9.545036666666666,76.93649666666666,768.4519333333333,8.584812666666666,72.02756,0.6999999999999998,88.13709666666666
2021-01-01 16:15:00,62.997,79.34531,10.04994,118.3656,0.4663969,8.901877,74.96506,-163.4216,9.475838,77.18387,174.7607,8.471573,72.27077,0.7,87.28787
2021-01-01 16:30:00,63.381405,78.39691833333333,10.37324,119.10755,0.4696310999999999,8.969885000000001,73.99661499999999,443.4475333333333,9.532364,76.94371166666667,510.2898666666667,8.538333999999999,72.11026833333332,0.7,87.71748166666667
2021-01-01 16:45:00,63.76581000000001,77.44852666666667,10.69654,119.8495,0.4728653,9.037893,73.02817,1050.3166666666666,9.58889,76.70355333333333,845.8190333333333,8.605095,71.94976666666666,0.6999999999999998,88.14709333333333
2021-01-01 17:00:00,63.689820000000005,77.67840833333332,10.529535,119.66475,0.472888175,9.0361695,73.39653000000001,851.8530583333334,9.57830075,76.66981166666667,800.5564416666666,8.592504000000002,71.98622083333333,0.7,88.05280916666666
2021-01-01 17:15:00,63.61383,77.90829,10.36253,119.48,0.47291105,9.034446,73.76489000000001,653.38945,9.5677115,76.63607,755.2938499999999,8.579913000000001,72.02267499999999,0.7,87.95852500000001
2021-01-01 17:30:00,62.99221,79.48594,10.50081,120.1338,0.467126,8.956932,75.68744,1056.307,9.476712,76.90205,635.5552,8.448987,72.07611,0.7,87.96538
2021-01-01 17:45:00,64.17073,76.80615,9.838119,117.8105,0.4764142,9.12787,72.24602,966.5745,9.673041,76.70617,957.8735,8.747171,72.29141,0.7,88.01221000000001
2021-01-01 18:00:00,63.96312,76.33025,9.764662,120.3899,0.4767542,8.994604,72.22034,1110.24,9.647351,76.67442,849.2059,8.678234,72.13176,0.7,87.56936
2021-01-01 18:15:00,62.67327,79.59221,10.03839,117.9403,0.4682049,9.072927,75.53387,941.5618,9.491713,77.02055,664.3591,8.465256,72.05339,0.7,88.44458
2021-01-01 18:30:00,63.445195,77.84161499999999,10.04878,118.79115,0.47185055,9.0295465,73.79007,1000.46835,9.566294,76.92160000000001,792.3167,8.5379825,72.04619,0.7,88.001715
2021-01-01 18:45:00,64.21974,79.46792,10.03841,120.0215,0.4678136,8.99431,71.97408,992.9044,9.644172,76.88112,665.5806,8.426983,71.98974,0.7,87.435
2021-01-01 19:00:00,62.85283,76.22398,10.40459,117.8818,0.4772187,9.133059,75.30802,1013.212,9.473064,76.76184,762.0563,8.679764,71.89055,0.7,88.25863
2021-01-01 19:15:00,63.75963,77.87321,10.004998333333331,118.59066666666666,0.4738009999999999,9.075144,73.70194333333333,1000.0307333333334,9.528995666666669,76.84788666666667,724.2131333333333,8.577873666666667,71.93170333333333,0.6999999999999998,87.8553
2021-01-01 19:30:00,62.89349,76.24318,10.16219,119.7475,0.468635,8.615728,72.05071,1014.89,9.628975,76.80859,669.6096,8.668875,72.01513,0.7,88.30888999999999
2021-01-01 19:45:00,64.3978,76.42831,10.01234,119.6683,0.4763594,8.919613,75.06387,997.1843,9.443045,76.81648,693.6136,8.578334,72.00661,0.7,88.2238
