SA,SD,PA,PI,LR,HC,fuel,bus_num,file_index
12,20,952,456,2465,3636,24.727,##########kd000027,141_6
0,1,122,0,0,4164,23.574,##########kd000027,141_9
0,6,151,519,658,3583,19.081,##########kd000027,141_10
4,15,356,66,617,629,7.172,##########kd000006,142_7
11,13,380,198,1046,1673,12.586,##########kd000006,142_9
2,1,172,479,692,3955,24.806,##########kd000006,142_13
0,0,100,0,0,2795,14.715,##########kd000006,143_1
2,4,161,98,389,1753,11.675,##########kd000006,143_2
6,4,327,0,202,2067,13.859,##########kd000006,143_6
4,2,96,300,512,4172,23.086,##########kd000006,143_10
1,2,108,0,621,1358,7.824,##########kd000006,143_21
0,0,35,0,0,1376,9.253,##########kd000006,143_24
0,4,139,72,236,2612,15.396,##########kd000006,144_1
0,8,117,0,0,2795,14.087,##########kd000006,144_9
0,0,133,0,0,4016,20.405,##########kd000006,144_13
0,9,208,0,0,4414,24.93,##########kd000006,145_4
0,5,331,89,485,3454,19.569,##########kd000006,146_4
0,2,140,0,142,4469,24.514,##########kd000006,146_5
0,0,71,0,0,819,5.799,##########kd000006,147_4
0,1,74,0,82,2114,10.191,##########kd000006,147_5
1,6,270,0,380,1226,11.197,##########kd000006,147_11
0,0,101,0,0,1906,10.525,##########kd000006,147_12
0,3,125,440,516,2364,16.695,##########kd000006,147_13
0,3,58,75,202,1519,7.404,##########kd000006,147_14
0,3,362,0,381,3722,23.18,##########kd000027,148_5
0,3,161,326,596,3170,17.838,##########kd000027,148_6
0,3,82,0,0,1752,11.242,##########kd000027,148_13
0,0,90,0,0,2080,11.379,##########kd000119,149_5
0,0,171,0,0,2881,16.176,##########kd000119,149_9
0,3,65,0,64,2281,9.333,##########kd000119,149_14
3,3,211,0,379,2103,12.192,##########kd000119,149_15
0,0,113,0,64,4041,23.873,##########kd000119,150_2
0,0,109,0,159,2803,15.589,##########kd000119,150_3
0,5,102,86,175,1397,9.066,##########kd000119,150_5
0,0,96,0,0,1342,7.876,##########kd000119,150_8
0,0,35,0,0,1237,8.312,##########kd000119,150_13
0,2,94,0,81,1507,6.786,##########kd000119,150_14
0,0,131,0,164,2799,15.956,##########kd000119,151_6
0,0,142,0,0,2650,14.489,##########kd000119,151_10
0,0,221,0,0,2418,16.522,##########kd000119,151_15
0,3,92,0,0,869,6.324,##########kd000006,152_1
8,23,259,210,590,3898,23.871,##########kd000006,152_2
12,2,444,301,1132,3910,24.545,##########kd000006,152_10
0,1,106,324,457,3253,19.179,##########kd000006,152_16
5,9,157,0,145,1506,11.898,##########kd000006,152_18
0,0,0,0,0,1174,7.007,##########kd000006,152_19
27,69,727,64,1393,1197,11.173,##########kd000069,153_2
19,39,579,395,1804,1190,9.469,##########kd000069,153_15
4,7,197,0,266,708,5.038,##########kd000069,153_24
16,34,512,166,1273,796,10.021,##########kd000069,154_4
17,26,310,113,1153,637,6.062,##########kd000069,154_7
9,19,294,71,565,789,5.68,##########kd000069,154_8
17,18,390,256,1559,723,7.401,##########kd000069,154_18
11,29,398,145,1188,766,8.109,##########kd000069,154_20
